Name                                                        Stmts   Miss  Coverage
numpy\core\tests\test_memmap.py                              152      4    97%
numpy\core\tests\test_multiarray.py                         6551     85    99%
numpy\core\tests\test_nditer.py                             1927     12    99%
numpy\core\tests\test_nep50_promotions.py                    141      2    99%
numpy\core\tests\test_numeric.py                            2419     10    99%
numpy\core\tests\test_numerictypes.py                        308      2    99%
numpy\core\tests\test_numpy_2_0_compat.py                     24      0   100%
numpy\core\tests\test_overrides.py                           478     15    97%
numpy\core\tests\test_print.py                                83      2    98%
numpy\core\tests\test_protocols.py                            30      4    87%
numpy\core\tests\test_records.py                             349      0   100%
numpy\core\tests\test_regression.py                         1652     43    97%
numpy\core\tests\test_scalar_ctors.py                        127      0   100%
numpy\core\tests\test_scalar_methods.py                      115      3    97%
numpy\core\tests\test_scalarbuffer.py                         85      0   100%
numpy\core\tests\test_scalarinherit.py                        70      1    99%
numpy\core\tests\test_scalarmath.py                          690     23    97%
numpy\core\tests\test_scalarprint.py                         164     16    90%
numpy\core\tests\test_shape_base.py                          534      1    99%
numpy\core\tests\test_simd.py                                865      8    99%
numpy\core\tests\test_simd_module.py                          81      1    99%
numpy\core\tests\test_strings.py                              63      0   100%
numpy\core\tests\test_ufunc.py                              1857     41    98%
numpy\core\tests\test_umath.py                              3236     39    99%
numpy\core\tests\test_umath_accuracy.py                       54     27    50%
numpy\core\tests\test_umath_complex.py                       356    176    51%
numpy\core\tests\test_unicode.py                             192      1    99%
numpy\core\umath.py                                            4      0   100%
numpy\core\umath_tests.py                                      3      3     0%
numpy\ctypeslib.py                                           217     26    88%
numpy\distutils\__init__.py                                   22      7    68%
numpy\distutils\_shell_utils.py                               49      8    84%
numpy\distutils\armccompiler.py                               10      4    60%
numpy\distutils\ccompiler.py                                 389    157    60%
numpy\distutils\ccompiler_opt.py                            1023    279    73%
numpy\distutils\command\__init__.py                            9      4    56%
numpy\distutils\command\autodist.py                           39     31    21%
numpy\distutils\command\bdist_rpm.py                          16     10    38%
numpy\distutils\command\build.py                              26      0   100%
numpy\distutils\command\build_clib.py                        250    214    14%
numpy\distutils\command\build_ext.py                         418    209    50%
numpy\distutils\command\build_py.py                           20     14    30%
numpy\distutils\command\build_scripts.py                      34     27    21%
numpy\distutils\command\build_src.py                         539    297    45%
numpy\distutils\command\config.py                            271    225    17%
numpy\distutils\command\config_compiler.py                    80     21    74%
numpy\distutils\command\develop.py                             7      3    57%
numpy\distutils\command\egg_info.py                           11      7    36%
numpy\distutils\command\install.py                            40     27    32%
numpy\distutils\command\install_clib.py                       29     18    38%
numpy\distutils\command\install_data.py                       10      4    60%
numpy\distutils\command\install_headers.py                    20     16    20%
numpy\distutils\command\sdist.py                              19     13    32%
numpy\distutils\conv_template.py                             165    140    15%
numpy\distutils\core.py                                      139    100    28%
numpy\distutils\cpuinfo.py                                   443    208    53%
numpy\distutils\exec_command.py                              142     31    78%
numpy\distutils\extension.py                                  33     12    64%
numpy\distutils\fcompiler\__init__.py                        585    169    71%
numpy\distutils\fcompiler\absoft.py                           97     69    29%
numpy\distutils\fcompiler\arm.py                              43     17    60%
numpy\distutils\fcompiler\compaq.py                           76     29    62%
numpy\distutils\fcompiler\environment.py                      68     24    65%
numpy\distutils\fcompiler\fujitsu.py                          24      8    67%
numpy\distutils\fcompiler\g95.py                              21      7    67%
numpy\distutils\fcompiler\gnu.py                             345    114    67%
numpy\distutils\fcompiler\hpux.py                             26     10    62%
numpy\distutils\fcompiler\ibm.py                              67     47    30%
numpy\distutils\fcompiler\intel.py                           106     34    68%
numpy\distutils\fcompiler\lahey.py                            29     14    52%
numpy\distutils\fcompiler\mips.py                             40     23    42%
numpy\distutils\fcompiler\nag.py                              52     25    52%
numpy\distutils\fcompiler\none.py                             13      4    69%
numpy\distutils\fcompiler\nv.py                               26     10    62%
numpy\distutils\fcompiler\pathf95.py                          19      6    68%
numpy\distutils\fcompiler\pg.py                               69     29    58%
